"CO","NO","NO2","NOX","O3","PM10","PM25"
0.17,1,11,12,56,24,16
1.32,83,34,117,2,35,22
0.51,0,20,20,63,60,35
0.11,1,9,10,90,36,20
0.17,1,16,17,54,38,21
0.17,1,13,14,40,41,10
0.17,1,9,10,62,31,21
0.4,5,30,34,6,25,13
0.36,1,16,17,122,72,46
0.1,1,10,11,13,10,7
0.28,1,11,13,9,22,17
0.46,5,23,28,40,33,24
0.24,0,11,11,103,95,40
0.07,1,13,14,22,15,8
1.08,59,44,103,4,51,24
0.1,1,11,12,19,7,5
0.12,0,9,9,56,32,18
0.28,3,18,21,21,23,13
0.47,2,26,28,87,50,38
0.14,1,14,14,19,20,11
0.24,1,13,14,22,17,12
0.44,3,32,36,4,37,20
0.23,0,12,12,87,38,27
0.08,1,9,10,46,27,12
0.72,10,48,58,42,48,37
0.71,36,30,66,4,43,30
0.23,1,18,19,29,41,18
0.15,1,12,13,83,47,28
0.24,1,11,12,87,64,37
0.14,1,12,13,37,29,9
0.29,1,13,14,98,32,25
0.27,1,19,20,32,36,31
0.24,2,19,21,11,29,24
0.31,1,18,19,17,11,9
0.21,1,16,17,88,51,26
0.24,10,15,26,1,16,12
0.31,1,20,21,28,21,13
0.38,11,23,34,13,35,20
0.37,1,26,27,34,25,19
0.35,0,18,18,35,42,33
0.21,1,16,17,6,25,21
0.19,2,19,21,12,24,16
0.49,12,31,43,26,37,28
0.02,1,6,7,63,43,13
0.19,7,12,19,2,24,14
0.15,1,7,8,56,24,14
0.88,41,29,70,1,43,29
0.15,2,10,11,8,9,6
0.1,1,8,9,83,38,14
0.09,2,5,6,34,26,10
0.1,0,12,13,25,20,7
0.17,1,19,20,15,21,15
0.43,1,15,16,54,32,21
0.3,2,23,25,17,31,16
0.21,1,11,12,91,35,19
0.53,3,26,29,81,42,29
0.35,1,21,22,44,35,28
1.01,17,53,71,1,38,25
0.57,2,24,26,67,42,33
0.22,1,15,16,40,17,10
0.28,1,20,21,20,29,20
0.21,1,13,14,126,45,21
0.21,0,8,8,33,27,18
0.32,1,21,21,26,36,18
0.51,3,40,44,9,35,14
0.24,2,12,14,58,42,34
0.25,1,13,14,9,21,17
1.59,84,40,124,2,59,36
0.93,33,28,61,1,28,19
0.28,1,18,19,14,26,17
0.06,0,5,6,88,28,19
0.2,1,11,12,32,20,13
0.41,2,26,28,14,20,13
0.44,1,18,19,51,43,28
0.38,2,25,26,12,23,17
0.08,1,14,15,41,53,13
0.74,18,31,49,15,47,34
0.47,2,30,32,8,35,24
0.56,4,41,45,64,66,42
0.19,1,10,11,50,25,16
0.74,1,33,34,114,84,58
